entity:influenza_illumina	subtype
ERR11658778	H7N7
ERR11658779	H7N7
ERR11658780	H7N7
ERR11658781	H7N7
ERR11658782	H7N7
ERR11658783	H7N7
ERR11658784	H7N7
ERR11658785	H7N7
ERR11658786	H7N7
ERR12329533	H1N1
ERR12329535	H1N1
ERR12329537	H1N1
ERR12329538	H1N1
ERR12329541	H1N1
ERR12329544	H1N1
ERR12329545	H1N1
ERR12329548	H1N1
ERR2777775	H3N2
ERR2777776	H3N2
ERR3474589	H3N2
ERR3474591	H3N2
ERR3474595	H3N2
ERR3474599	H3N2
ERR3474602	H3N2
ERR3474607	H3N2
ERR3474615	H3N2
ERR3474629	H3N2
ERR3474636	H3N2
ERR3474640	H3N2
SRA906205	H1N2
SRR17349350	H7N3
SRR17349351	H7N3
SRR17349352	H7N3
SRR17349353	H7N3
SRR17349354	H7N3
SRR17349355	H7N3
SRR17349356	H7N3
SRR17349357	H7N3
SRR21931417	H1N1
SRR21931418	H1N1
SRR21931419	H1N1
SRR21931420	H1N1
SRR21931421	H1N1
SRR21931423	H1N1
SRR21931424	H1N1
SRR21931425	H1N1
SRR29182377	H5N1
SRR29182378	H5N1
SRR29182379	H5N1
SRR29182380	H5N1
SRR29182381	H5N1
SRR29182382	H5N1
SRR29182383	H5N1
SRR29182384	H5N1
SRR29182385	H5N1
SRR7646265	H7N3
SRR7646277	H7N3
SRR8032432	H1N2
SRR8032433	H1N2
SRR9423532	H1N2
SRR9423610	H1N2
SRR9423614	H1N2
SRR9424240	H1N2
SRR9424244	H1N2
SRR9425404	H1N2
SRR9425405	H1N2
SRR9425437	H1N2
SRR9425528	H1N2
